user_id,event_type,percentage,date,time,timezone
1,power_connected,2,2025-10-23,19:00:35,+05:30
1,power_disconnected,8,2025-10-23,19:07:38,+05:30
1,power_connected,7,2025-10-23,19:17:43,+05:30
1,power_disconnected,41,2025-10-23,20:02:50,+05:30
1,power_connected,35,2025-10-23,22:11:47,+05:30
1,power_disconnected,100,2025-10-24,00:29:42,+05:30
1,power_connected,51,2025-10-27,09:51:39,+05:30
1,power_disconnected,91,2025-10-27,10:30:36,+05:30
1,power_connected,46,2025-10-27,19:14:25,+05:30
1,power_disconnected,77,2025-10-27,19:33:14,+05:30
1,power_connected,47,2025-10-28,00:51:17,+05:30
1,power_disconnected,100,2025-10-28,07:00:32,+05:30
1,power_connected,40,2025-10-28,17:32:38,+05:30
1,power_disconnected,64,2025-10-28,17:47:24,+05:30
1,power_connected,33,2025-10-28,22:20:39,+05:30
1,power_disconnected,65,2025-10-28,22:33:43,+05:30
1,power_connected,62,2025-10-28,22:56:42,+05:30
1,power_disconnected,65,2025-10-28,23:03:38,+05:30
1,power_connected,49,2025-10-29,00:36:31,+05:30
1,power_disconnected,100,2025-10-29,06:34:09,+05:30
1,power_connected,42,2025-10-29,14:06:48,+05:30
1,power_disconnected,44,2025-10-29,14:09:15,+05:30
1,power_connected,42,2025-10-29,14:15:17,+05:30
1,power_disconnected,42,2025-10-29,14:16:34,+05:30
1,power_connected,28,2025-10-29,18:48:23,+05:30
1,power_disconnected,80,2025-10-29,19:13:24,+05:30
1,power_connected,8,2025-10-31,18:56:10,+05:30
1,power_disconnected,100,2025-10-31,21:48:15,+05:30
1,power_connected,38,2025-11-02,19:53:27,+05:30
1,power_disconnected,100,2025-11-02,20:42:30,+05:30
1,power_connected,70,2025-11-04,15:35:00,+05:30
1,power_disconnected,70,2025-11-04,15:35:11,+05:30
1,power_connected,3,2025-11-08,10:47:20,+05:30
1,power_disconnected,22,2025-11-08,10:54:13,+05:30
1,power_connected,1,2025-11-09,20:49:34,+05:30
1,power_disconnected,39,2025-11-09,21:04:45,+05:30
1,power_connected,37,2025-11-09,22:49:14,+05:30
1,power_disconnected,80,2025-11-10,00:44:13,+05:30
1,power_connected,17,2025-11-12,16:01:17,+05:30
1,power_disconnected,80,2025-11-13,00:09:06,+05:30
