user_id,event_type,percentage,date,time,timezone
7,power_connected,1,2025-10-23,11:42:34,+05:30
7,power_disconnected,99,2025-10-23,13:08:45,+05:30
7,power_connected,99,2025-10-23,13:37:53,+05:30
7,power_disconnected,100,2025-10-23,14:05:29,+05:30
7,power_connected,87,2025-10-23,21:21:14,+05:30
7,power_disconnected,94,2025-10-23,21:31:53,+05:30
7,power_connected,55,2025-10-24,10:42:51,+05:30
7,power_disconnected,80,2025-10-24,11:02:09,+05:30
7,power_connected,17,2025-10-25,07:56:12,+05:30
7,power_disconnected,80,2025-10-25,08:52:11,+05:30
7,power_connected,31,2025-10-25,18:19:35,+05:30
7,power_disconnected,38,2025-10-25,18:29:21,+05:30
7,power_connected,7,2025-10-26,11:05:54,+05:30
7,power_disconnected,31,2025-10-26,11:16:58,+05:30
7,power_connected,1,2025-10-26,18:03:13,+05:30
7,power_disconnected,6,2025-10-26,18:12:47,+05:30
7,power_connected,4,2025-10-26,18:31:17,+05:30
7,power_disconnected,87,2025-10-26,19:18:48,+05:30
7,power_connected,45,2025-10-27,11:10:38,+05:30
7,power_disconnected,80,2025-10-27,12:03:22,+05:30
7,power_connected,61,2025-10-27,15:30:55,+05:30
7,power_disconnected,93,2025-10-27,15:59:23,+05:30
7,power_connected,84,2025-10-27,17:03:03,+05:30
7,power_disconnected,86,2025-10-27,17:05:01,+05:30
7,power_connected,1,2025-10-28,14:53:47,+05:30
7,power_disconnected,78,2025-10-28,15:37:21,+05:30
7,power_connected,23,2025-10-29,08:58:02,+05:30
7,power_disconnected,52,2025-10-29,09:12:59,+05:30
7,power_connected,51,2025-10-29,09:18:58,+05:30
7,power_disconnected,85,2025-10-29,09:42:55,+05:30
7,power_connected,16,2025-10-30,07:17:57,+05:30
7,power_disconnected,84,2025-10-30,08:00:09,+05:30
