user_id,event_type,percentage,date,time,timezone
8,power_connected,84,2025-10-18,05:41:10,+05:30
8,power_disconnected,100,2025-10-18,06:20:13,+05:30
8,power_connected,51,2025-10-18,18:45:11,+05:30
8,power_disconnected,58,2025-10-18,18:58:30,+05:30
8,power_connected,35,2025-10-19,06:07:08,+05:30
8,power_disconnected,80,2025-10-19,08:16:18,+05:30
8,power_connected,48,2025-10-19,18:38:41,+05:30
8,power_disconnected,78,2025-10-19,19:05:51,+05:30
8,power_connected,66,2025-10-20,06:18:04,+05:30
8,power_disconnected,100,2025-10-20,07:00:40,+05:30
8,power_connected,54,2025-10-20,18:39:52,+05:30
8,power_disconnected,93,2025-10-20,19:21:26,+05:30
8,power_connected,73,2025-10-21,05:35:54,+05:30
8,power_disconnected,100,2025-10-21,06:41:36,+05:30
8,power_connected,86,2025-10-21,08:40:02,+05:30
8,power_disconnected,92,2025-10-21,08:51:05,+05:30
8,power_connected,64,2025-10-21,16:59:51,+05:30
8,power_disconnected,85,2025-10-21,17:19:12,+05:30
8,power_connected,80,2025-10-21,18:07:48,+05:30
8,power_disconnected,98,2025-10-21,18:28:25,+05:30
8,power_connected,76,2025-10-22,04:52:13,+05:30
8,power_disconnected,100,2025-10-22,05:36:12,+05:30
8,power_connected,55,2025-10-22,16:05:46,+05:30
8,power_disconnected,97,2025-10-22,16:51:40,+05:30
8,power_connected,76,2025-10-23,06:14:57,+05:30
8,power_disconnected,96,2025-10-23,07:37:03,+05:30
8,power_connected,63,2025-10-23,15:47:59,+05:30
8,power_disconnected,83,2025-10-23,16:41:40,+05:30
8,power_connected,60,2025-10-24,06:41:34,+05:30
8,power_disconnected,100,2025-10-24,08:14:38,+05:30
8,power_connected,61,2025-10-24,18:16:10,+05:30
8,power_disconnected,87,2025-10-24,19:08:33,+05:30
8,power_connected,77,2025-10-25,05:25:53,+05:30
8,power_disconnected,100,2025-10-25,06:33:37,+05:30
8,power_connected,53,2025-10-25,13:30:00,+05:30
8,power_disconnected,89,2025-10-25,14:54:22,+05:30
8,power_connected,75,2025-10-25,18:41:53,+05:30
8,power_disconnected,88,2025-10-25,19:05:58,+05:30
8,power_connected,88,2025-10-25,19:12:54,+05:30
8,power_disconnected,97,2025-10-25,19:29:39,+05:30
8,power_connected,89,2025-10-26,05:49:56,+05:30
8,power_disconnected,100,2025-10-26,06:47:25,+05:30
8,power_connected,50,2025-10-26,18:35:11,+05:30
8,power_disconnected,91,2025-10-26,19:50:01,+05:30
8,power_connected,83,2025-10-27,06:15:03,+05:30
8,power_disconnected,100,2025-10-27,07:07:43,+05:30
8,power_connected,87,2025-10-27,10:20:13,+05:30
8,power_disconnected,95,2025-10-27,10:33:51,+05:30
8,power_connected,68,2025-10-27,18:41:05,+05:30
8,power_disconnected,96,2025-10-27,19:35:03,+05:30
8,power_connected,87,2025-10-28,06:32:27,+05:30
8,power_disconnected,100,2025-10-28,07:37:10,+05:30
8,power_connected,83,2025-10-28,14:32:29,+05:30
8,power_disconnected,97,2025-10-28,14:51:08,+05:30
8,power_connected,68,2025-10-29,06:43:11,+05:30
8,power_disconnected,100,2025-10-29,07:41:34,+05:30
8,power_connected,70,2025-10-29,18:27:42,+05:30
8,power_disconnected,99,2025-10-29,19:06:39,+05:30
