user_id,event_type,percentage,date,time,timezone
5,power_connected,19,2025-10-21,18:00:48,+05:30
5,power_disconnected,97,2025-10-21,18:28:38,+05:30
5,power_connected,25,2025-10-22,01:41:16,+05:30
5,power_disconnected,100,2025-10-22,03:03:10,+05:30
5,power_connected,15,2025-10-22,21:25:33,+05:30
5,power_disconnected,18,2025-10-22,21:27:11,+05:30
5,power_connected,17,2025-10-22,21:33:30,+05:30
5,power_disconnected,95,2025-10-22,21:59:37,+05:30
5,power_connected,75,2025-10-22,23:56:58,+05:30
5,power_disconnected,91,2025-10-23,00:05:35,+05:30
5,power_connected,64,2025-10-23,01:11:55,+05:30
5,power_disconnected,100,2025-10-23,01:44:28,+05:30
5,power_connected,67,2025-10-23,13:27:57,+05:30
5,power_disconnected,81,2025-10-23,13:38:34,+05:30
5,power_connected,11,2025-10-23,17:16:03,+05:30
5,power_disconnected,92,2025-10-23,17:50:07,+05:30
5,power_connected,62,2025-10-23,21:35:17,+05:30
5,power_disconnected,82,2025-10-23,21:44:08,+05:30
5,power_connected,10,2025-10-24,02:01:47,+05:30
5,power_disconnected,100,2025-10-24,02:40:33,+05:30
5,power_connected,61,2025-10-24,13:01:38,+05:30
5,power_disconnected,97,2025-10-24,13:14:12,+05:30
5,power_connected,30,2025-10-24,19:12:59,+05:30
5,power_disconnected,100,2025-10-24,19:40:36,+05:30
5,power_connected,27,2025-10-25,02:15:45,+05:30
5,power_disconnected,100,2025-10-25,02:53:58,+05:30
5,power_connected,22,2025-10-25,21:11:50,+05:30
5,power_disconnected,100,2025-10-25,21:47:14,+05:30
5,power_connected,30,2025-10-26,02:14:51,+05:30
5,power_disconnected,100,2025-10-26,03:07:02,+05:30
5,power_connected,37,2025-10-26,13:27:37,+05:30
5,power_disconnected,94,2025-10-26,13:56:07,+05:30
5,power_connected,44,2025-10-26,18:07:09,+05:30
5,power_disconnected,100,2025-10-26,18:34:34,+05:30
5,power_connected,42,2025-10-27,00:22:48,+05:30
5,power_disconnected,100,2025-10-27,00:51:51,+05:30
5,power_connected,82,2025-10-27,03:01:27,+05:30
5,power_disconnected,100,2025-10-27,10:51:55,+05:30
5,power_connected,100,2025-10-27,12:41:20,+05:30
5,power_disconnected,100,2025-10-27,12:41:42,+05:30
5,power_connected,27,2025-10-27,20:08:46,+05:30
5,power_disconnected,99,2025-10-27,20:48:29,+05:30
5,power_connected,65,2025-10-28,01:30:18,+05:30
5,power_disconnected,100,2025-10-28,02:04:38,+05:30
5,power_connected,58,2025-10-28,13:16:01,+05:30
5,power_disconnected,74,2025-10-28,13:30:20,+05:30
5,power_connected,26,2025-10-28,18:06:26,+05:30
5,power_disconnected,98,2025-10-28,18:32:07,+05:30
5,power_connected,69,2025-10-28,23:10:44,+05:30
5,power_disconnected,100,2025-10-28,23:38:34,+05:30
5,power_connected,64,2025-10-29,03:37:10,+05:30
5,power_disconnected,100,2025-10-29,09:10:16,+05:30
